
as 16:16:32 ---- APP STARTED ---

sc 16:16:33 -- :Menu Utama --
.. 16:16:46      .
td 16:16:51      touched on :(418.0, 1083.0)
.. 16:16:56      .
td 16:16:58      touched on :(254.0, 1032.0)
td 16:16:59      touched on :(455.0, 961.0)
tu 16:17:00      -> up after 0.51 s on :(360.0, 978.0)
.. 16:17:06      .
td 16:17:11      touched on :(1197.0, 327.00000000000006)
bp 16:17:11      pressed :Sadang Serang Interaktif
td 16:17:13      touched on :(1587.0, 317.0)
td 16:17:14      touched on :(1617.0, 361.0)
bp 16:17:14      pressed :Rumah Kita
.. 16:17:16      .
td 16:17:21      touched on :(1581.0, 98.00000000000006)
.. 16:17:26      .

as 16:30:45 ---- APP STARTED ---

sc 16:30:46 -- :Menu Utama --
.. 16:30:55      .
.. 16:31:05      .
.. 16:31:15      .
.. 16:31:25      .
.. 16:31:35      .
.. 16:31:45      .
.. 16:31:55      .
.. 16:32:05      .
.. 16:32:15      .
.. 16:32:25      .
.. 16:32:35      .
.. 16:32:45      .
.. 16:32:55      .
.. 16:33:05      .
.. 16:33:15      .
.. 16:33:25      .
.. 16:33:35      .
.. 16:33:45      .
.. 16:33:55      .
td 16:34:00      touched on :(1794.0, 938.0)
td 16:34:00      touched on :(1795.0, 1103.0)
td 16:34:00      touched on :(1869.0, 973.0)
td 16:34:00      touched on :(1775.0, 1078.0)
td 16:34:00      touched on :(1850.0, 1004.0)
td 16:34:00      touched on :(1765.0, 1055.0)
td 16:34:00      touched on :(1919.0, 998.0)
td 16:34:00      touched on :(1872.0, 1103.0)
td 16:34:00      touched on :(1862.0, 962.0)
td 16:34:00      touched on :(1717.0, 1031.0)
td 16:34:00      touched on :(1902.0, 1072.0)
td 16:34:00      touched on :(1761.0, 1066.0)
td 16:34:00      touched on :(1738.0, 1095.0)
td 16:34:00      touched on :(1681.0, 1103.0)
td 16:34:00      touched on :(1620.0, 986.0)
td 16:34:00      touched on :(1583.0, 1041.0)
td 16:34:00      touched on :(1521.0, 1010.0)
td 16:34:00      touched on :(1437.0, 1009.0)
td 16:34:00      touched on :(1401.0, 1091.0000000000002)
td 16:34:00      touched on :(1353.0, 1097.0)
td 16:34:00      touched on :(1212.0, 1103.0)
td 16:34:00      touched on :(1147.0, 1103.0)
td 16:34:01      touched on :(1099.0, 1001.0)
td 16:34:01      touched on :(948.0, 1057.0)
td 16:34:01      touched on :(971.0, 1045.0)
td 16:34:01      touched on :(874.0, 1001.0)
td 16:34:01      touched on :(925.0, 1089.0)
td 16:34:01      touched on :(707.0, 1054.0)
td 16:34:01      touched on :(718.0, 1092.0)
td 16:34:01      touched on :(804.0, 1009.0)
td 16:34:01      touched on :(814.0, 1057.0)
td 16:34:01      touched on :(819.0, 1089.0)
td 16:34:01      touched on :(513.0, 1030.0)
td 16:34:01      touched on :(649.0, 1044.0)
td 16:34:01      touched on :(438.0, 1006.0)
td 16:34:01      touched on :(486.0, 1090.0)
td 16:34:01      touched on :(451.0, 1047.0)
td 16:34:01      touched on :(554.0, 1091.0000000000002)
td 16:34:01      touched on :(553.0, 1055.0)
td 16:34:01      touched on :(508.99999999999994, 1093.0)
td 16:34:01      touched on :(586.0, 1045.0)
td 16:34:01      touched on :(729.0, 1089.0)
td 16:34:01      touched on :(916.0, 1065.0)
td 16:34:01      touched on :(1069.0, 1055.0)
td 16:34:01      touched on :(1441.0, 1064.0)
td 16:34:01      touched on :(1548.0, 1043.0)
td 16:34:01      touched on :(1567.0, 1070.0)
td 16:34:01      touched on :(1639.0, 1090.0)
td 16:34:01      touched on :(1744.0, 1018.0000000000001)
td 16:34:01      touched on :(1605.0, 1090.0)
td 16:34:01      touched on :(1713.0, 1056.0)
td 16:34:01      touched on :(1593.0, 1054.0)
td 16:34:01      touched on :(1729.0, 952.0)
td 16:34:01      touched on :(1682.0, 934.0)
td 16:34:02      touched on :(1493.0, 1089.0)
td 16:34:02      touched on :(1042.0, 1056.0)
td 16:34:02      touched on :(948.0, 1045.0)
